parent,sku,price,override_price,preparation_days,weight,length,width,height,images,tags,defaultTags
6453,OTAA1BR06E,9690,8690,11,6.94,96.5,72,6,,,
6453,OTAA1BR06N,9190,8190,17,6.94,96.5,72,6,,,
6453,OTAA2BR06E,7290,6890,11,2.68,68,48.5,6,,,
6453,OTAA2BR06N,6890,6490,17,2.68,68,48.5,6,,,
6453,OTAA3BR06E,6090,5690,11,1.25,51.5,36,4,,,
6453,OTAA3BR06N,5790,5390,17,1.25,51.5,36,4,,,
6453,OTAA1BR05E,9090,8090,11,6.94,96.5,72,6,,,
6453,OTAA1BR05N,8590,7590,17,6.94,96.5,72,6,,,
6453,OTAA2BR05E,6690,6290,11,2.68,68,48.5,6,,,
6453,OTAA2BR05N,6290,5890,17,2.68,68,48.5,6,,,
6453,OTAA3BR05E,5490,5090,11,1.25,51.5,36,4,,,
6453,OTAA3BR05N,5190,4790,17,1.25,51.5,36,4,,,
6453,OTAA1BR04E,8490,7490,11,6.94,96.5,72,6,,,
6453,OTAA1BR04N,7990,6990,17,6.94,96.5,72,6,,,
6453,OTAA2BR04E,6090,5690,11,2.68,68,48.5,6,,,
6453,OTAA2BR04N,5690,5290,17,2.68,68,48.5,6,,,
6453,OTAA3BR04E,4890,4490,11,1.25,51.5,36,4,,,
6453,OTAA3BR04N,4590,4190,17,1.25,51.5,36,4,,,
6453,OTAA1BR03E,7890,6890,11,6.94,96.5,72,6,,,
6453,OTAA1BR03N,7390,6390,17,6.94,96.5,72,6,,,
6453,OTAA2BR03E,5490,5090,11,2.68,68,48.5,6,,,
6453,OTAA2BR03N,5090,4690,17,2.68,68,48.5,6,,,
6453,OTAA3BR03E,4290,3890,11,1.25,51.5,36,4,,,
6453,OTAA3BR03N,3990,3590,17,1.25,51.5,36,4,,,
6453,OTAA0BR02E,9290,8290,11,,,,,,,
6453,OTAA0BR02N,8790,7790,17,,,,,,,
6453,OTAA1BR02E,7290,6290,11,6.94,96.5,72,6,,,
6453,OTAA1BR02N,6790,5790,17,6.94,96.5,72,6,,,
6453,OTAA2BR02E,4890,4490,11,2.68,68,48.5,6,,,
6453,OTAA2BR02N,4490,4090,17,2.68,68,48.5,6,,,
6453,OTAA3BR02E,3690,3290,11,1.25,51.5,36,4,,,
6453,OTAA3BR02N,3390,2990,17,1.25,51.5,36,4,,,
6453,OTAA0BR01E,8690,7690,11,,,,,,,
6453,OTAA0BR01N,8190,7190,17,,,,,,,
6453,OTAA1BR01E,6690,5690,11,6.94,96.5,72,6,,,
6453,OTAA1BR01N,6190,5190,17,6.94,96.5,72,6,,,
6453,OTAA2BR01E,4290,3890,11,2.68,68,48.5,6,,,
6453,OTAA2BR01N,3890,3490,17,2.68,68,48.5,6,,,
6453,OTAA3BR01E,3090,2690,11,1.25,51.5,36,4,,,
6453,OTAA3BR01N,2790,2390,17,1.25,51.5,36,4,,,
5390,PTAA0BR06E,9890,9190,7,,,,,,,
5390,PTAA0BR06N,9390,8690,12,,,,,,,
5390,PTAA1BR06E,7890,7190,7,6.94,96.5,72,6,,,
5390,PTAA1BR06N,7390,6690,12,6.94,96.5,72,6,,,
5390,PTAA2BR06E,5490,5190,7,2.68,68,48.5,6,,,
5390,PTAA2BR06N,5090,4790,12,2.68,68,48.5,6,,,
5390,PTAA3BR06E,4290,3990,7,1.25,51.5,36,4,,,
5390,PTAA3BR06N,3990,3690,12,1.25,51.5,36,4,,,
5390,PTAA0BR05E,9590,8890,7,,,,,,,
5390,PTAA0BR05N,9090,8390,12,,,,,,,
5390,PTAA1BR05E,7590,6890,7,6.94,96.5,72,6,,,
5390,PTAA1BR05N,7090,6390,12,6.94,96.5,72,6,,,
5390,PTAA2BR05E,5190,4890,7,2.68,68,48.5,6,,,
5390,PTAA2BR05N,4790,4490,12,2.68,68,48.5,6,,,
5390,PTAA3BR05E,3990,3690,7,1.25,51.5,36,4,,,
5390,PTAA3BR05N,3690,3390,12,1.25,51.5,36,4,,,
5390,PTAA0BR04E,9290,8590,7,,,,,,,
5390,PTAA0BR04N,8790,8090,12,,,,,,,
5390,PTAA1BR04E,7290,6590,7,6.94,96.5,72,6,,,
5390,PTAA1BR04N,6790,6090,12,6.94,96.5,72,6,,,
5390,PTAA2BR04E,4890,4590,7,2.68,68,48.5,6,,,
5390,PTAA2BR04N,4490,4190,12,2.68,68,48.5,6,,,
5390,PTAA3BR04E,3690,3390,7,1.25,51.5,36,4,,,
5390,PTAA3BR04N,3390,3090,12,1.25,51.5,36,4,,,
5390,PTAA0BR03E,8990,8290,7,,,,,,,
5390,PTAA0BR03N,8490,7790,12,,,,,,,
5390,PTAA1BR03E,6990,6290,7,6.94,96.5,72,6,,,
5390,PTAA1BR03N,6490,5790,12,6.94,96.5,72,6,,,
5390,PTAA2BR03E,4590,4290,7,2.68,68,48.5,6,,,
5390,PTAA2BR03N,4190,3890,12,2.68,68,48.5,6,,,
5390,PTAA3BR03E,3390,3090,7,1.25,51.5,36,4,,,
5390,PTAA3BR03N,3090,2790,12,1.25,51.5,36,4,,,
5390,PTAA0BR02E,8690,7990,7,,,,,,,
5390,PTAA0BR02N,8190,7490,12,,,,,,,
5390,PTAA1BR02E,6690,5990,7,6.94,96.5,72,6,,,
5390,PTAA1BR02N,6190,5490,12,6.94,96.5,72,6,,,
5390,PTAA2BR02E,4290,3990,7,2.68,68,48.5,6,,,
5390,PTAA2BR02N,3890,3590,12,2.68,68,48.5,6,,,
5390,PTAA3BR02E,3090,2790,7,1.25,51.5,36,4,,,
5390,PTAA3BR02N,2790,2490,12,1.25,51.5,36,4,,,
5390,PTAA0BR01E,8390,7690,7,,,,,,,
5390,PTAA0BR01N,7890,7190,12,,,,,,,
5390,PTAA1BR01E,6390,5690,7,6.94,96.5,72,6,,,
5390,PTAA1BR01N,5890,5190,12,6.94,96.5,72,6,,,
5390,PTAA2BR01E,3990,3690,7,2.68,68,48.5,6,,,
5390,PTAA2BR01N,3590,3290,12,2.68,68,48.5,6,,,
5390,PTAA3BR01E,2790,2490,7,1.25,51.5,36,4,,,
5390,PTAA3BR01N,2490,2190,12,1.25,51.5,36,4,,,
68784,PMRA0BR06E,10190,9190,10,,,,,,,
68784,PMRA0BR06N,9690,8690,16,,,,,,,
68784,PMRA1BR06E,8190,7190,10,6.94,96.5,72,6,,,
68784,PMRA1BR06N,7690,6690,16,6.94,96.5,72,6,,,
68784,PMRA2BR06E,5790,5390,10,2.68,68,48.5,6,,,
68784,PMRA2BR06N,5390,4990,16,2.68,68,48.5,6,,,
68784,PMRA3BR06E,4590,4190,10,1.25,51.5,36,4,,,
68784,PMRA3BR06N,4290,3890,16,1.25,51.5,36,4,,,
68784,PMRA0BR05E,9890,8890,10,,,,,,,
68784,PMRA0BR05N,9390,8390,16,,,,,,,
68784,PMRA1BR05E,7890,6890,10,6.94,96.5,72,6,,,
68784,PMRA1BR05N,7390,6390,16,6.94,96.5,72,6,,,
68784,PMRA2BR05E,5490,5090,10,2.68,68,48.5,6,,,
68784,PMRA2BR05N,5090,4690,16,2.68,68,48.5,6,,,
68784,PMRA3BR05E,4290,3890,10,1.25,51.5,36,4,,,
68784,PMRA3BR05N,3990,3590,16,1.25,51.5,36,4,,,
68784,PMRA0BR04E,9590,8590,10,,,,,,,
68784,PMRA0BR04N,9090,8090,16,,,,,,,
68784,PMRA1BR04E,7590,6590,10,6.94,96.5,72,6,,,
68784,PMRA1BR04N,7090,6090,16,6.94,96.5,72,6,,,
68784,PMRA2BR04E,5190,4790,10,2.68,68,48.5,6,,,
68784,PMRA2BR04N,4790,4390,16,2.68,68,48.5,6,,,
68784,PMRA3BR04E,3990,3590,10,1.25,51.5,36,4,,,
68784,PMRA3BR04N,3690,3290,16,1.25,51.5,36,4,,,
68784,PMRA0BR03E,9290,8290,10,,,,,,,
68784,PMRA0BR03N,8790,7790,16,,,,,,,
68784,PMRA1BR03E,7290,6290,10,6.94,96.5,72,6,,,
68784,PMRA1BR03N,6790,5790,16,6.94,96.5,72,6,,,
68784,PMRA2BR03E,4890,4490,10,2.68,68,48.5,6,,,
68784,PMRA2BR03N,4490,4090,16,2.68,68,48.5,6,,,
68784,PMRA3BR03E,3690,3290,10,1.25,51.5,36,4,,,
68784,PMRA3BR03N,3390,2990,16,1.25,51.5,36,4,,,
68784,PMRA0BR02E,8990,7990,10,,,,,,,
68784,PMRA0BR02N,8490,7490,16,,,,,,,
68784,PMRA1BR02E,6990,5990,10,6.94,96.5,72,6,,,
68784,PMRA1BR02N,6490,5490,16,6.94,96.5,72,6,,,
68784,PMRA2BR02E,4590,4190,10,2.68,68,48.5,6,,,
68784,PMRA2BR02N,4190,3790,16,2.68,68,48.5,6,,,
68784,PMRA3BR02E,3390,2990,10,1.25,51.5,36,4,,,
68784,PMRA3BR02N,3090,2690,16,1.25,51.5,36,4,,,
68784,PMRSC03E,1890,,5,,,,,,,
